network_name,predicted_lut,predicted_DSPs,predicted_latency,RF for each Layer
network_128_5_16_0_0_4_4.json,24807.64,17.01,42283.76,"conv1d_20: 48, conv1d_21: 384, conv1d_22: 384, conv1d_23: 384, conv1d_24: 768, dense_19: 64, dense_20: 16, dense_21: 16, dense_22: 16, dense_23: 4"
network_247_5_16_0_0_5_54.json,91708.16,65.96,44239.21,"conv1d_35: 24, conv1d_36: 192, conv1d_37: 768, conv1d_38: 768, conv1d_39: 768, dense_34: 336, dense_35: 2916, dense_36: 2916, dense_37: 2916, dense_38: 2916, dense_39: 54"
network_128_5_16_0_0_4_8.json,24807.06,17.01,42283.76,"conv1d_25: 48, conv1d_26: 384, conv1d_27: 768, conv1d_28: 384, conv1d_29: 768, dense_24: 512, dense_25: 32, dense_26: 32, dense_27: 32, dense_28: 4"
network_128_5_20_0_0_3_17.json,27124.88,14.01,42955.76,"conv1d_55: 60, conv1d_56: 600, conv1d_57: 1200, conv1d_58: 300, conv1d_59: 1200, dense_52: 1360, dense_53: 289, dense_54: 289, dense_55: 17"
network_128_5_16_0_0_0_0.json,18999.00,10.01,42207.76,"conv1d: 48, conv1d_1: 768, conv1d_2: 384, conv1d_3: 768, conv1d_4: 384, dense: 64"
network_128_5_16_0_0_4_5.json,24807.06,17.01,42283.76,"conv1d_30: 48, conv1d_31: 768, conv1d_32: 768, conv1d_33: 384, conv1d_34: 768, dense_29: 64, dense_30: 25, dense_31: 25, dense_32: 25, dense_33: 5"
network_134_1_32_2_11_4_19_128.json,76397.24,76.02,44807.84,"conv1d_451: 96, lstm_416: 352, lstm_417: 121, dense_1490: 14003, dense_1491: 361, dense_1492: 361, dense_1493: 361, dense_1494: 19"
network_128_5_16_0_0_3_18.json,26374.88,15.88,42955.76,"conv1d_50: 48, conv1d_51: 768, conv1d_52: 768, conv1d_53: 768, conv1d_54: 768, dense_48: 384, dense_49: 162, dense_50: 162, dense_51: 18"
network_147_5_16_0_0_3_18.json,26374.88,15.88,42955.76,"conv1d_75: 48, conv1d_76: 768, conv1d_77: 768, conv1d_78: 768, conv1d_79: 768, dense_68: 384, dense_69: 162, dense_70: 162, dense_71: 18"
network_128_5_26_0_0_3_17.json,63052.25,40.00,48479.97,"conv1d_60: 78, conv1d_61: 2028, conv1d_62: 1014, conv1d_63: 2028, conv1d_64: 2028, dense_56: 1768, dense_57: 289, dense_58: 289, dense_59: 17"
network_367_5_16_0_0_5_75.json,91702.21,65.96,44239.21,"conv1d_5: 24, conv1d_6: 192, conv1d_7: 768, conv1d_8: 768, conv1d_9: 768, dense_1: 13200, dense_2: 5625, dense_3: 5625, dense_4: 5625, dense_5: 5625, dense_6: 75"
network_246_5_16_0_0_4_50.json,80227.48,57.96,43720.88,"conv1d_40: 24, conv1d_41: 192, conv1d_42: 768, conv1d_43: 768, conv1d_44: 384, dense_40: 5600, dense_41: 2500, dense_42: 2500, dense_43: 2500, dense_44: 50"
network_128_5_41_0_0_3_19.json,63052.25,40.00,48735.97,"conv1d_70: 123, conv1d_71: 5043, conv1d_72: 5043, conv1d_73: 5043, conv1d_74: 5043, dense_64: 3116, dense_65: 361, dense_66: 361, dense_67: 19"
network_128_5_30_0_0_3_17.json,63052.25,40.00,48479.97,"conv1d_65: 90, conv1d_66: 2700, conv1d_67: 2700, conv1d_68: 2700, conv1d_69: 2700, dense_60: 2040, dense_61: 289, dense_62: 289, dense_63: 17"
network_512_4_16_2_32_4_64_512.json,374008.89,459.18,49902.19,"conv1d_24620: 3, conv1d_24621: 48, conv1d_24622: 192, conv1d_24623: 192, lstm_11014: 128, lstm_11015: 4096, dense_36715: 65536, dense_36716: 4096, dense_36717: 4096, dense_36718: 4096, dense_36719: 64"
network_215_5_16_0_0_2_38.json,30836.26,23.96,42647.68,"conv1d_45: 24, conv1d_46: 192, conv1d_47: 384, conv1d_48: 768, conv1d_49: 384, dense_45: 1824, dense_46: 1444, dense_47: 38"
network_395_5_16_0_0_5_76.json,94959.89,78.00,48316.01,"conv1d_10: 24, conv1d_11: 192, conv1d_12: 192, conv1d_13: 192, conv1d_14: 768, dense_7: 14592, dense_8: 5776, dense_9: 5776, dense_10: 5776, dense_11: 5776, dense_12: 76"
network_207_5_16_0_0_5_47.json,44702.26,29.96,44201.68,"conv1d_15: 24, conv1d_16: 192, conv1d_17: 384, conv1d_18: 384, conv1d_19: 768, dense_13: 4512, dense_14: 2209, dense_15: 2209, dense_16: 2209, dense_17: 2209, dense_18: 47"
