reuse_factor,cnn_filters,n_inputs,sequence_length,latency,error_percentage_latency,predicted_latency_max,lut,dsp48e,bram,ff,predicted_lut,predicted_dsp,predicted_bram,predicted_ff,error_percentage_lut,error_percentage_dsp,error_percentage_bram,error_percentage_ff
1,16,16,64,61,-51.31147540983606,92.3,173722.0,336.0,0,30752.0,173439.060469697,333.260833333333,1.71,30794.5840757576,0.1228036155829007,0.1585165895061931,-0.2740384615384615,-0.0092413358848959
2,16,16,64,374,0.0,374.0,98063.0,384.0,171,32014.0,98062.830277109,384.0,171.0,32013.4353587289,7.366444922101639e-05,0.0,0.0,0.0001225349980684
4,16,16,64,442,0.0,442.0,54201.0,192.0,86,17684.0,54200.852940116,192.0,86.0,17683.5588203481,6.382807465380817e-05,0.0,0.0,9.5742111957817e-05
4,32,32,64,442,0.0,442.0,231959.0,768.0,342,75569.0,231959.251472222,768.0,342.0,75569.7144166667,-0.0001091459296907,0.0,0.0,-0.0001550383391272
16,16,16,64,918,0.0,918.0,18206.0,48.0,22,9001.0,18206.0,48.0,22.0,9001.31675112703,0.0,0.0,0.0,-6.873939388659285e-05
16,32,32,64,850,0.0,850.0,69293.0,192.0,86,22644.0,69292.9842216021,192.0,86.0,22643.9526648062,6.848262974775328e-06,0.0,0.0,1.0272394488216223e-05
24,16,16,64,1156,0.0,1156.0,13507.0,32.0,14,6278.0,13507.0,32.0,14.0,6278.39634745443,0.0,0.0,0.0,-8.601290243702585e-05
32,32,32,64,1462,0.0,1462.0,42226.0,96.0,43,17783.0,42226.0,96.0,43.0,17783.0,0.0,0.0,0.0,0.0
48,16,16,64,1972,0.0,1972.0,5400.0,16.0,7,3562.0,5501.41193897222,16.0,7.0,3562.66505663509,-0.0440155985122482,0.0,0.0,-0.0001443265267122
48,32,32,64,1972,0.0,1972.0,32818.0,64.0,29,12344.0,32818.0,64.0,29.0,12344.0,0.0,0.0,0.0,0.0
96,16,16,64,3604,0.0,3604.0,4927.0,8.0,4,2918.0,4936.72306780881,8.0,4.0,2918.86087170294,-0.0042200815142404,0.0,0.0,-0.0001868211160894
96,32,32,64,3604,0.0,3604.0,10456.0,32.0,14,6924.0,10657.652826637,32.0,14.0,6924.0,-0.0875229282278648,0.0,0.0,0.0
384,16,16,64,13396,0.0,13396.0,3020.0,2.0,2,2439.0,3320.19440393498,2.0,2.0,2438.36488821808,-0.130292710041224,0.0,0.0,0.0001378280776735
384,32,32,64,13430,0.0,13430.0,9808.0,8.0,4,5364.0,10746.3466356815,8.0,4.0,5364.0,-0.4072685050700957,0.0,0.0,0.0
