layer_name,reuse_factor,dense_size,n_in,sequence_length,predicted_lut,predicted_ff,predicted_bram,predicted_dsp,predicted_latency_min,predicted_latency_max
dense_36715,32,64,1024,1,294920.8910971373,146983.8948862593,455.0,1024.0,107.21410822561236,108.21410822561238
dense_36715,64,64,1024,1,313222.22596380644,146966.95761253766,455.0,1024.0,141.61328883043004,142.61328883043004
dense_36715,128,64,1024,1,185687.06547213797,104856.66049468535,228.0,512.0,199.75541312084823,200.75541312084823
dense_36715,256,64,1024,1,185687.06547213797,104856.66049468535,228.0,512.0,199.75541312084823,200.75541312084823
dense_36715,512,64,1024,1,136978.21692883485,126609.6706153724,57.0,128.0,611.4330829930483,612.4330829930483
dense_36715,1024,64,1024,1,136978.21692883485,126609.6706153724,57.0,128.0,611.4330829930483,612.4330829930483
dense_36715,2048,64,1024,1,136978.21692883485,126609.6706153724,57.0,128.0,611.4330829930483,612.4330829930483
dense_36715,4096,64,1024,1,136978.21692883485,126609.6706153724,57.0,128.0,611.4330829930483,612.4330829930483
dense_36715,8192,64,1024,1,136978.21692883485,126609.6706153724,57.0,128.0,611.4330829930483,612.4330829930483
dense_36715,16384,64,1024,1,136978.21692883485,126609.6706153724,57.0,128.0,611.4330829930483,612.4330829930483
dense_36715,32768,64,1024,1,136978.21692883485,126609.6706153724,57.0,128.0,611.4330829930483,612.4330829930483
dense_36715,65536,64,1024,1,136978.21692883485,126609.6706153724,57.0,128.0,611.4330829930483,612.4330829930483
dense_36716,2,64,64,1,416229.3520651839,79097.2022717152,397.03,885.76,16.04,17.04
dense_36716,4,64,64,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_36716,8,64,64,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_36716,16,64,64,1,138844.12826213392,31229.497925094594,114.0,256.0,21.452659176904145,22.452659176904145
dense_36716,32,64,64,1,71234.7625621629,19645.857885686117,57.0,128.0,37.77989607829381,38.77989607829381
dense_36716,64,64,64,1,21070.982427374045,12425.501579268534,29.0,64.0,68.455981153211,69.455981153211
dense_36716,128,64,64,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_36716,256,64,64,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_36716,512,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36716,1024,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36716,2048,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36716,4096,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36717,2,64,64,1,416229.3520651839,79097.2022717152,397.03,885.76,16.04,17.04
dense_36717,4,64,64,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_36717,8,64,64,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_36717,16,64,64,1,138844.12826213392,31229.497925094594,114.0,256.0,21.452659176904145,22.452659176904145
dense_36717,32,64,64,1,71234.7625621629,19645.857885686117,57.0,128.0,37.77989607829381,38.77989607829381
dense_36717,64,64,64,1,21070.982427374045,12425.501579268534,29.0,64.0,68.455981153211,69.455981153211
dense_36717,128,64,64,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_36717,256,64,64,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_36717,512,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36717,1024,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36717,2048,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36717,4096,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36718,2,64,64,1,416229.3520651839,79097.2022717152,397.03,885.76,16.04,17.04
dense_36718,4,64,64,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_36718,8,64,64,1,416229.3520651839,79097.2022717152,361.83,803.84,17.98,18.98
dense_36718,16,64,64,1,138844.12826213392,31229.497925094594,114.0,256.0,21.452659176904145,22.452659176904145
dense_36718,32,64,64,1,71234.7625621629,19645.857885686117,57.0,128.0,37.77989607829381,38.77989607829381
dense_36718,64,64,64,1,21070.982427374045,12425.501579268534,29.0,64.0,68.455981153211,69.455981153211
dense_36718,128,64,64,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_36718,256,64,64,1,18414.403300246908,10478.39080568857,14.0,32.0,133.35527789870378,134.35527789870378
dense_36718,512,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36718,1024,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36718,2048,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36718,4096,64,64,1,11480.678200971279,8538.358860567918,5.0,8.0,517.3262368799251,518.3262368799251
dense_36719,1,1,64,1,146065.79395833335,34024.14565476191,39.89,364.84,44.005599999999994,44.12559999999999
dense_36719,2,1,64,1,59323.63026785714,30872.373392857142,76.37,370.28,9.0296,10.0296
dense_36719,4,1,64,1,19374.89,8617.04755952381,12.54,44.8,9.2,10.2
dense_36719,8,1,64,1,19374.89,8617.04755952381,12.54,44.8,9.2,10.2
dense_36719,16,1,64,1,5210.0,4697.56937604006,0.0,4.0,21.0,22.0
dense_36719,32,1,64,1,4159.0,4471.97387061372,0.0,2.0,37.0,38.0
dense_36719,64,1,64,1,3582.0,4345.0,0.0,1.0,69.0,70.0
